trip_id,departure,destination,duree
OCESN031119R0200218427,Clermont-Ferrand,Montluçon-Ville,146
OCESN031120R0200218428,Montluçon-Ville,Riom-Châtel-Guyon,120
OCESN031121R0200218429,Arvant,Aurillac,121
OCESN031125R0200218432,Moulins-sur-Allier,Vichy,78
OCESN031127R0200218433,Clermont-Ferrand,Thiers,71
OCESN031128R0200218434,Clermont-Ferrand,Volvic,39
OCESN031135R0400418436,Ancizes-St-Georges-Bour,Volvic,39
OCESN031141R0200218442,Montluçon-Ville,Urcay-Hotel-du-Lyon-d'O,44
OCESN031147R0200218446,Montluçon-Ville,St-Amand-Montrond-Orval,59
OCESN031164R0100118462,Thiers,Vertaizon,40
OCESN031165R0200218463,Montluçon-Ville,St-Eloy,40
OCESN031183R0200218476,Lapeyrouse(Puy-de-Dôme),St-Eloy-les-Mines-Lycée,20
OCESN031185R0300318478,Ancizes-St-Georges-Bour,Clermont-Ferrand,69
OCESN031186R0300318479,Clermont-Ferrand,St-Gervais-Mairie,91
OCESN031189R0200218482,Clermont-Ferrand,Le Mont Dore Ski,98
OCESN031196R0100118489,Clermont-Ferrand,Vertaizon,32
OCESN031197R0200218490,Volvic,St-Eloy,113
OCESN031200R0200218493,Arvant,St-Flour-les-Allées,50
OCESN031201R0200218494,Massiac-Blesle,St-Flour-les-Allées,30
OCESN031202R0200218495,Arvant,St-Chély-d'Apcher,77
OCESN031221R0300318508,Clermont-Ferrand,Mauriac-Lycée-Cortat,136
OCESN031223R0200218509,Lapeyrouse(Puy-de-Dôme),St-Eloy,15
OCESN031226R0200218510,Clermont-Ferrand,Mauriac,133
OCESN031235R0300318513,Riom-Châtel-Guyon,St-Gervais-Ch-LPA.,54
OCESN031247R0200218521,Montluçon-Ville,St-Gervais-Ch-LPA.,60
OCESN031254R0300318525,Neussargues,Riom_Es_M_la_Poste.,69
OCESN031256R0300318528,Clermont-Ferrand,St-Flour-les-Allées,93
OCESN031263R0200218534,Neussargues,St-Chély-d'Apcher,56
OCESN031265R0200218535,Neussargues,St-Flour-Chaudes-Aigues,31
OCESN031269R0200218538,St-Chély-d'Apcher,St-Flour-les-Allées,30
OCESN031274R0200218542,Massiac-Blesle,St-Chély-d'Apcher,49
OCESN031290R0300318554,Volvic,Pontgibaud-Ville,22
OCESN031301R0200218560,Brioude-Lycée-Lafayette,Brioude,5
OCESN031304R0200218561,Langeac,St-Georges-d'Aurac,10
OCESN031309R0400418565,Langeac,St-George-d'Aurac-Bourg,12
OCESN031332R0400418585,Brioude,Langeac,37
OCESN031334R0500518587,Brioude,Le Puy-en-Velay,64
OCESN031338R0200218591,Langeac,Le Puy-en-Velay,49
OCESN031342R0200218592,Le Puy-en-Velay,St-Georges-d'Aurac,53
OCESN031347R0200218596,Arvant,Le Puy-en-Velay,81
OCESN031354R0500518600,Le Puy-en-Velay,Saint-Etienne-Chtx GR,80
OCESN031360R0300318603,Le Puy-en-Velay,La Chaise-Dieu,47
OCESN031363R0300318606,Ambert,Le Puy-en-Velay,107
OCESN031394R0400418612,Ambert,Vichy,119
OCESN031398R0300318613,Pont-de-Dore,Vichy,66
OCESN031407R0300318618,Ussel,Laqueuille,39
OCESN031471R0300318661,Arvant,Issoire,46
OCESN031473R0300318662,Vic-le-Comte,Issoire-Lycée-Deville,30
OCESN031476R0300318663,Issoire,Le-Breuil-sur-Couze-Lyc,13
OCESN031478R0400418665,Brioude,Issoire,54
OCESN031479R0200218666,Clermont-Ferrand,Ussel,100
OCESN031552R0200218681,Luzy(Nièvre),Nevers,98
OCESN031554R0200218682,Cercy-la-Tour,Nevers,68
OCESN031679R0300318686,Autun,Etang,21
OCESN031679R0400418687,Autun,Le Creusot,49
OCESN031684R0300318695,Autun,Montchanin,62
OCESN031701R0200218722,Moulins-sur-Allier,Nevers,68
OCESN031712R0300318726,Nevers,St-Pierre-le-Moûtier,33
OCESN031751R0200218729,Moulins-sur-Allier,Paray-le-Monial,82
OCESN031784R0200218743,Chauffailles-Gambetta,Digoin,67
OCESN031786R0200218744,Digoin,Lozanne,133
OCESN031860R0200218747,Louhans,Seurre,48
OCESN031864R0200218749,Bourg-en-Bresse,Seurre,103
OCESN031900R0200218753,Auxerre-St-Gervais,Avallon,63
OCESN031950R0200218768,Auxerre-St-Gervais,Clamecy,76
OCESN031955R0400418774,Auxerre-St-Gervais,Corbigny,111
OCESN031970R0400418785,Clamecy,Corbigny,35
OCESN032002R0200218790,Lorient,Quimperlé,22
OCESN032300R1101118791,Châteaubriant,Janzé,57
OCESN032303R1001018793,Châteaubriant,Retiers,33
OCESN032400R0100118797,Dinan,Dol,30
OCESN032850R0200218821,Valençay,Luçay-le-Male,15
OCESN032857R0200218824,Romorantin-Blanc-Argent,Salbris,50
OCESN032861R0200218827,Faubourg-d'Orléans,Romorantin-Blanc-Argent,5
OCESN032867R0200218831,Faubourg-d'Orléans,Valençay,55
OCESN033001R0200218842,La Ferté-sur-Chiers,Sedan-Place-Calonne,59
OCESN033080R0200218851,Châlons-en-Champagne,Verdun,108
OCESN033111R0200218869,St-Dizier,Vitry-le-François,51
OCESN033120R0200218873,Joinville,St-Dizier,50
OCESN033140R0200218889,Chaumont,St-Dizier,123
OCESN033141R0300318890,Chaumont,Joinville,77
OCESN033172R0300318904,Chaumont,Langres-Gendarmerie,67
OCESN033208R0500518910,Chaumont,Troyes,100
OCESN033210R0400418913,Bar-sur-Aube,Juvancourt,32
OCESN033212R0200218914,Bar-sur-Aube,Troyes,98
OCESN033215R0200218915,Troyes,Vendeuvre (Aube),55
OCESN033219R0200218919,Bayel-Eglise,Juvancourt,18
OCESN033230R0200218924,Chaumont,Vendeuvre (Aube),60
OCESN033233R0300318925,Vendeuvre (Aube),Juvancourt,85
OCESN033270R0300318934,Chaumont,Ville-sous-La-Ferté,48
OCESN033274R0200218938,Bricon(la Poste),Chaumont,19
OCESN033280R0400418944,St-Florentin-Vergigny,Troyes,97
